flash-gate	deepseek/deepseek-v4-flash	orrery-335-mission-event-merge	pi	PASS	110	0	20	34641	yes	0
flash-gate	deepseek/deepseek-v4-flash	orrery-credits	pi	PASS	140	0	13	46233	yes	0
flash-gate	deepseek/deepseek-v4-flash	orrery-look-angles	pi	PASS	60	0	12	18569	yes	0
flash-gate	deepseek/deepseek-v4-flash	orrery-mission-arc	pi	PASS	291	0	28	103136	yes	0
flash-gate	deepseek/deepseek-v4-flash	orrery-fly-physics	pi	PASS	55	0	8	19921	yes	0
flash-k1	deepseek/deepseek-v4-flash	orrery-credits-L1	pi	PASS	155	0	22	68917	yes	0
flash-k1	deepseek/deepseek-v4-flash	orrery-look-angles-L1	pi	PASS	161	0	22	54812	yes	0
flash-k1	deepseek/deepseek-v4-flash	orrery-mission-arc-L0	pi	FAIL (ftp_still_failing=1, regressions=0)	336	0	17	205389	yes	0
flash-k1	deepseek/deepseek-v4-flash	orrery-fly-physics-L1-noctx	pi	FAIL (ftp_still_failing=2, regressions=0)	50	0	8	19359	no	0
flash-k1	deepseek/deepseek-v4-flash	orrery-fly-physics-L1	pi	FAIL (ftp_still_failing=2, regressions=0)	60	0	8	30898	no	0
flash-k2	deepseek/deepseek-v4-flash	orrery-credits-L1	pi	PASS	160	0	25	62104	yes	0
flash-k2	deepseek/deepseek-v4-flash	orrery-look-angles-L1	pi	PASS	95	0	15	34482	yes	0
flash-k2	deepseek/deepseek-v4-flash	orrery-mission-arc-L0	pi	FAIL (ftp_still_failing=1, regressions=0)	351	0	31	189776	yes	0
flash-k2	deepseek/deepseek-v4-flash	orrery-fly-physics-L1-noctx	pi	FAIL (ftp_still_failing=2, regressions=0)	65	0	12	23719	no	0
flash-k2	deepseek/deepseek-v4-flash	orrery-fly-physics-L1	pi	FAIL (ftp_still_failing=2, regressions=0)	60	0	11	26173	no	0
flash-k3	deepseek/deepseek-v4-flash	orrery-credits-L1	pi	PASS	336	0	42	73708	yes	0
flash-k3	deepseek/deepseek-v4-flash	orrery-look-angles-L1	pi	PASS	86	0	16	32539	yes	0
flash-k3	deepseek/deepseek-v4-flash	orrery-mission-arc-L0	pi	FAIL (ftp_still_failing=1, regressions=0)	426	0	36	195659	yes	0
flash-k3	deepseek/deepseek-v4-flash	orrery-fly-physics-L1-noctx	pi	FAIL (ftp_still_failing=2, regressions=0)	45	0	8	16513	no	0
flash-k3	deepseek/deepseek-v4-flash	orrery-fly-physics-L1	pi	FAIL (ftp_still_failing=2, regressions=0)	50	0	7	24439	no	0
qwen30b-gate	qwen/qwen3-coder-30b-a3b-instruct	orrery-335-mission-event-merge	pi	FAIL (ftp_still_failing=2, regressions=0)	5	0	0	0	no	0
qwen30b-gate	qwen/qwen3-coder-30b-a3b-instruct	orrery-credits	pi	FAIL (ftp_still_failing=1, regressions=0)	5	0	0	0	no	0
qwen30b-gate	qwen/qwen3-coder-30b-a3b-instruct	orrery-look-angles	pi	FAIL (ftp_still_failing=2, regressions=0)	5	0	0	0	no	0
qwen30b-gate	qwen/qwen3-coder-30b-a3b-instruct	orrery-mission-arc	pi	FAIL (ftp_still_failing=1, regressions=0)	5	0	0	0	no	0
qwen30b-gate	qwen/qwen3-coder-30b-a3b-instruct	orrery-fly-physics	pi	FAIL (ftp_still_failing=2, regressions=0)	5	0	0	0	no	0
qwen35f-gate	qwen/qwen3.5-flash-02-23	orrery-335-mission-event-merge	pi	FAIL (ftp_still_failing=2, regressions=0)	10	0.017257045	2	825	no	0
